n,steps
460,354214.1
461,354385.8
462,356461.4
463,358768.6
464,359750.3
465,360915.1
466,362372.7
467,364613.7
468,365743.8
469,367715.0
470,369479.8
471,371372.5
472,371500.9
473,374401.3
474,374959.3
475,377455.0
476,379577.2
477,379652.2
478,382044.2
479,383573.0
480,384590.2
481,387106.7
482,388024.5
483,390323.1
484,391650.2
485,394219.8
486,394597.8
487,395354.1
488,398356.8
489,399845.5
490,402603.7
491,403147.4
492,403848.3
493,405961.2
494,408319.3
495,409964.4
496,412146.4
497,412890.0
498,415029.7
499,415865.8
500,418203.3
